Source,Target,Label,Time,Type,Topicality
1,2,is-a,1,Directed,1
1,3,genre,1,Directed,1
1,4,medium,1,Directed,1
1,5,owner,1,Directed,1
1,6,year,1,Directed,1
1,7,in-exhibition,1,Directed,1
1,8,courtesy,1,Directed,1
1,9,artist,2,Directed,1
1,7,in-exhibition,2,Directed,1
1,8,courtesy,2,Directed,1
9,10,is-a,2,Directed,1
9,11,photo,2,Directed,1
9,12,nationality,2,Directed,1
9,13,living-in,2,Directed,1
9,8,gallery,2,Directed,1
9,14,gallery,2,Directed,1
9,15,born,2,Directed,1
9,7,exhibition,2,Directed,1
1,16,title,3,Directed,1
16,17,is,3,Directed,1
16,18,stored-in,3,Directed,1
16,19,known-by,3,Directed,1
16,20,kept-away-from,3,Directed,1
16,21,distribution,3,Directed,1
16,22,access,3,Directed,1
16,23,content,3,Directed,1
16,24,keeper,3,Directed,1
16,25,synonym,3,Directed,1
16,26,motivation,3,Directed,1
26,27,could-be,3,Directed,1
26,28,could-be,3,Directed,1
1,29,depicted,4,Directed,1
1,30,msi-algorithm,4,Directed,1
29,31,expression,5,Directed,1
32,33,is-a,5,Directed,1
32,34,mental-state,5,Directed,1
32,35,suggests,5,Directed,1
32,30,grounding,5,Directed,1
29,31,expression,6,Directed,1
31,33,is-a,6,Directed,1
31,36,social-attitude,6,Directed,1
31,37,mental-state,6,Directed,1
31,35,suggests,6,Directed,1
31,30,grounding,6,Directed,1
1,38,k-means-clustering,7,Directed,1
38,39,clustered-image,7,Directed,1
40,39,pattern-from,7,Directed,1
29,41,facial-expressions,8,Directed,1
41,42,facial-expression,8,Directed,1
42,33,is-a,8,Directed,1
42,40,grounding,8,Directed,1
42,43,lip-position,8,Directed,1
42,44,suggests,8,Directed,1
42,45,suggests,8,Directed,1
42,35,suggests,8,Directed,1
45,46,is-a,8,Directed,1
44,46,is-a,8,Directed,1
35,46,is-a,8,Directed,1
35,16,hiding,8,Directed,1
1,47,spectral-residual,9,Directed,1
42,49,grounding,9,Directed,1
49,48,pattern-from,9,Directed,1
42,50,suggests,10,Directed,1
50,51,is-a,10,Directed,1
50,52,emotion,10,Directed,1
1,53,tin-edges,11,Directed,1
54,53,pattern-from,11,Directed,1
55,29,belongs-to,12,Directed,1
55,56,body-part,12,Directed,1
55,57,feature,12,Directed,1
55,58,suggests,12,Directed,1
55,59,suggests,12,Directed,1
55,54,grounding,12,Directed,1
60,39,pattern-from,13,Directed,1
61,48,pattern-from,13,Directed,1
62,60,grounding,13,Directed,1
62,61,grounding,13,Directed,1
41,62,facial-expression,14,Directed,1
62,63,eyelids,14,Directed,1
62,64,suggests,14,Directed,1
62,34,suggests,14,Directed,1
62,35,suggests,14,Directed,1
62,65,suggests,14,Directed,1
62,66,suggests,14,Directed,1
64,67,is-an,14,Directed,1
34,67,is-an,14,Directed,1
29,68,facial-features,15,Directed,1
68,69,facial-feature,15,Directed,1
69,70,is-a,15,Directed,1
69,71,grounding,15,Directed,1
69,72,body-part,15,Directed,1
69,73,feature,15,Directed,1
69,74,suggests,15,Directed,1
69,75,suggests,15,Directed,1
69,58,suggests,15,Directed,1
71,39,pattern-from,15,Directed,1
68,76,facial-feature,16,Directed,1
68,77,facial-feature,16,Directed,1
76,70,is-a,16,Directed,1
76,78,body-part,16,Directed,1
76,79,feature,16,Directed,1
76,80,grounding,16,Directed,1
76,81,associated-with,16,Directed,1
77,70,is-a,16,Directed,1
77,78,body-part,16,Directed,1
77,82,feature,16,Directed,1
77,80,grounding,16,Directed,1
77,83,associated-with,16,Directed,1
77,84,associated-with,16,Directed,1
80,39,pattern-from,16,Directed,1
81,85,is-an,16,Directed,1
81,86,suggests,16,Directed,1
81,87,suggests,16,Directed,1
81,88,suggests,16,Directed,1
83,67,is-an,16,Directed,1
83,59,suggests,16,Directed,1
83,89,suggests,16,Directed,1
68,90,facial-feature,17,Directed,1
90,70,is-a,17,Directed,1
90,91,body-part,17,Directed,1
90,92,feature,17,Directed,1
90,93,grounding,17,Directed,1
90,52,suggests,17,Directed,1
90,81,suggests,17,Directed,1
90,58,suggests,17,Directed,1
93,39,pattern-from,17,Directed,1
68,94,facial-feature,18,Directed,1
94,70,is-a,18,Directed,1
94,95,body-part,18,Directed,1
94,96,position,18,Directed,1
94,66,suggests,18,Directed,1
94,97,suggests,18,Directed,1
94,98,grounding,18,Directed,1
94,99,grounding,18,Directed,1
98,39,pattern-from,18,Directed,1
99,53,pattern-from,18,Directed,1
68,100,facial-feature,19,Directed,1
100,70,is-a,19,Directed,1
100,101,face-shape,19,Directed,1
100,66,suggests,19,Directed,1
100,58,suggests,19,Directed,1
100,102,suggests,19,Directed,1
100,103,grounding,19,Directed,1
103,53,pattern-from,19,Directed,1
1,29,depicted,20,Directed,1
29,104,face-of,20,Directed,1
29,24,is,20,Directed,1
104,105,member-of,20,Directed,1
104,106,minister,20,Directed,1
104,107,role,20,Directed,1
104,108,politics,20,Directed,1
104,109,politics,20,Directed,1
104,110,book,20,Directed,1
104,107,role,20,Directed,1
104,111,profession,20,Directed,1
110,112,is-a,20,Directed,1
110,104,author,20,Directed,1
110,16,topic,20,Directed,1
110,105,topic,20,Directed,1
110,108,topic,20,Directed,1
110,113,topic,20,Directed,1
110,114,context,20,Directed,1
110,115,theme,20,Directed,1
108,116,is-a,21,Directed,1
108,117,spectrum,21,Directed,1
108,118,identity,21,Directed,1
108,119,government-form,21,Directed,1
108,58,social-attitude,21,Directed,1
120,105,controlled-by,21,Directed,1
120,121,flag,21,Directed,1
120,122,country,21,Directed,1
120,108,politics,21,Directed,1
120,109,politics,21,Directed,1
120,86,associated-with,21,Directed,1
120,123,leader,21,Directed,1
123,124,is-a,21,Directed,1
123,120,leader-of,21,Directed,1
123,58,character,21,Directed,1
123,108,politics,21,Directed,1
123,109,politics,21,Directed,1
123,86,associated-with,21,Directed,1
123,105,member-of,21,Directed,1
104,125,picture,22,Directed,1
104,126,picture,22,Directed,1
104,127,picture,22,Directed,1
125,126,section-of,22,Directed,1
1,125,source,23,Directed,1
125,128,mapping-algorithm,23,Directed,1
1,128,mapping-algorithm,23,Directed,1
7,129,is-an,24,Directed,1
7,130,title,24,Directed,1
7,9,artist,24,Directed,1
7,131,location,24,Directed,1
7,132,begin,24,Directed,1
7,133,end,24,Directed,1
7,134,curator,24,Directed,1
131,135,is-a,24,Directed,1
131,136,photo,24,Directed,1
131,137,city,24,Directed,1
131,138,location,24,Directed,1
131,139,address,24,Directed,1
131,140,function,24,Directed,1
131,141,owner,24,Directed,1
142,143,is-a,25,Directed,1
142,144,picture,25,Directed,1
142,130,title,25,Directed,1
142,145,director,25,Directed,1
142,146,inspiration,25,Directed,1
142,147,actor,25,Directed,1
142,148,actress,25,Directed,1
142,149,actor,25,Directed,1
142,114,context,25,Directed,1
142,150,context,25,Directed,1
142,151,release-date,25,Directed,1
142,115,theme,25,Directed,1
142,152,location,25,Directed,1
146,112,is-a,26,Directed,1
146,130,title,26,Directed,1
146,153,picture,26,Directed,1
146,154,author,26,Directed,1
146,155,period,26,Directed,1
146,114,context,26,Directed,1
146,150,context,26,Directed,1
146,152,location,26,Directed,1
146,156,location,26,Directed,1
146,115,theme,26,Directed,1
146,157,published,26,Directed,1
154,158,is-a,26,Directed,1
154,159,picture,26,Directed,1
154,160,nationality,26,Directed,1
154,161,location,26,Directed,1
154,162,born,26,Directed,1
154,146,author-of,26,Directed,1
154,163,real-name,26,Directed,1
154,164,home,26,Directed,1
154,108,politics,26,Directed,1
154,165,politics,26,Directed,1
166,167,is-a,27,Directed,1
166,168,body-part,27,Directed,1
166,130,italian,27,Directed,1
164,169,is-a,28,Directed,1
164,170,picture,28,Directed,1
164,161,location,28,Directed,1
164,154,owner,28,Directed,1
164,171,film-set-for,28,Directed,1
172,2,is-a,28,Directed,1
172,173,picture,28,Directed,1
172,174,depicted,28,Directed,1
172,175,title,28,Directed,1
172,9,artist,28,Directed,1
172,7,exhibition,28,Directed,1
172,176,year,28,Directed,1
172,177,source,28,Directed,1
172,171,source,28,Directed,1
172,178,theme,28,Directed,1
172,179,theme,28,Directed,1
172,180,dimensions,28,Directed,1
177,174,is-a,28,Directed,1
177,164,location,28,Directed,1
171,175,title,29,Directed,1
171,181,director,29,Directed,1
171,182,actress,29,Directed,1
171,183,actor,29,Directed,1
171,164,location,29,Directed,1
171,184,date,29,Directed,1
